trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
9,False,"{'a': 0.5, 'e': 0.50915642060754895}",32,0,-115.92160826,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 2}",0,-0.075,0.5
10,False,"{'a': 0.5, 'e': 0.47236655274101452}",48,23,13.8363911764,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1,-0.075,0.5
11,False,"{'a': 0.5, 'e': 0.43823499246494907}",48,27,-50.9063046451,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 1}",1,-0.075,0.5
12,False,"{'a': 0.5, 'e': 0.40656965974059894}",40,22,-5.95615923863,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1,-0.075,0.5
13,False,"{'a': 0.5, 'e': 0.37719235356315672}",40,14,-48.331039532,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 1}",1,-0.075,0.5
14,False,"{'a': 0.5, 'e': 0.34993774911115516}",48,33,12.7020064445,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1,-0.075,0.5
15,False,"{'a': 0.5, 'e': 0.32465246735834952}",32,2,-88.7704511819,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",1,-0.075,0.5
16,False,"{'a': 0.5, 'e': 0.30119421191220191}",32,0,-16.044687563,"{0: 28, 1: 0, 2: 4, 3: 0, 4: 0}",0,-0.075,0.5
17,False,"{'a': 0.5, 'e': 0.27943096822140717}",48,14,-10.5553943711,"{0: 32, 1: 0, 2: 1, 3: 0, 4: 1}",1,-0.075,0.5
18,False,"{'a': 0.5, 'e': 0.25924026064589134}",32,0,-18.4467452806,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 0}",0,-0.075,0.5
19,False,"{'a': 0.5, 'e': 0.24050846320834196}",32,13,11.3308775577,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1,-0.075,0.5
20,False,"{'a': 0.5, 'e': 0.22313016014842965}",48,0,-44.3369804567,"{0: 42, 1: 4, 2: 0, 3: 1, 4: 1}",0,-0.075,0.5
21,False,"{'a': 0.5, 'e': 0.20700755268115245}",40,12,-53.6676317577,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 2}",1,-0.075,0.5
22,False,"{'a': 0.5, 'e': 0.19204990862075394}",48,25,32.9731319019,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
23,False,"{'a': 0.5, 'e': 0.17817305177289824}",32,0,1.93211018924,"{0: 29, 1: 1, 2: 1, 3: 1, 4: 0}",0,-0.075,0.5
24,False,"{'a': 0.5, 'e': 0.16529888822158637}",32,5,-16.2561571839,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 0}",1,-0.075,0.5
25,False,"{'a': 0.5, 'e': 0.1533549668449283}",32,23,16.6308933063,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
26,False,"{'a': 0.5, 'e': 0.14227407158651342}",32,0,-29.5174350662,"{0: 30, 1: 0, 2: 0, 3: 1, 4: 1}",0,-0.075,0.5
27,False,"{'a': 0.5, 'e': 0.13199384318783006}",40,14,19.0639859814,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 0}",1,-0.075,0.5
28,False,"{'a': 0.5, 'e': 0.12245642825298177}",40,30,-28.2913344878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.075,0.5
29,False,"{'a': 0.5, 'e': 0.1136081536707636}",32,8,27.6580033557,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
30,False,"{'a': 0.5, 'e': 0.10539922456186421}",40,25,17.0110112071,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
31,False,"{'a': 0.5, 'e': 0.097783444051349935}",32,23,14.4352199205,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
32,False,"{'a': 0.5, 'e': 0.090717953289412387}",32,7,-86.9026847176,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",1,-0.075,0.5
33,False,"{'a': 0.5, 'e': 0.084162990257310263}",32,0,-12.6796995178,"{0: 30, 1: 1, 2: 0, 3: 0, 4: 1}",0,-0.075,0.5
34,False,"{'a': 0.5, 'e': 0.078081666001153058}",48,33,-18.8873647164,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.075,0.5
35,False,"{'a': 0.5, 'e': 0.072439757034251373}",48,38,-6.84204210431,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1,-0.075,0.5
36,False,"{'a': 0.5, 'e': 0.067205512739749673}",48,36,21.8960859765,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
37,False,"{'a': 0.5, 'e': 0.062349476689673333}",32,21,-24.5910186923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1,-0.075,0.5
38,False,"{'a': 0.5, 'e': 0.05784432087483838}",40,21,9.88870740275,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1,-0.075,0.5
39,False,"{'a': 0.5, 'e': 0.053664691912730045}",48,28,33.5745167925,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
40,False,"{'a': 0.5, 'e': 0.049787068367863868}",32,27,7.16565870379,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
1,True,"{'a': 0, 'e': 0}",48,17,43.6082306957,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
2,True,"{'a': 0, 'e': 0}",40,17,28.8195764232,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1,-0.075,0.5
