trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,decay,alpha
7,True,"{'a': 0, 'e': 0}",56,19,-7.41453711332,"{0: 35, 1: 1, 2: 0, 3: 0, 4: 1}",1,0.04,0.1
8,True,"{'a': 0, 'e': 0}",40,0,-3.32250190752,"{0: 38, 1: 0, 2: 1, 3: 0, 4: 1}",0,0.04,0.1
9,True,"{'a': 0, 'e': 0}",32,0,-7.20408165956,"{0: 31, 1: 0, 2: 0, 3: 0, 4: 1}",0,0.04,0.1
10,True,"{'a': 0, 'e': 0}",32,24,-26.8967140606,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1,0.04,0.1
1,False,"{'a': 0.1, 'e': 0.97}",40,0,-223.227349218,"{0: 23, 1: 4, 2: 10, 3: 0, 4: 3}",0,0.03,0.1
2,False,"{'a': 0.1, 'e': 0.94}",32,0,-139.813088777,"{0: 19, 1: 5, 2: 5, 3: 2, 4: 1}",0,0.03,0.1
3,False,"{'a': 0.1, 'e': 0.9099999999999999}",40,0,-188.141019244,"{0: 26, 1: 3, 2: 7, 3: 2, 4: 2}",0,0.03,0.1
4,False,"{'a': 0.1, 'e': 0.8799999999999999}",32,0,-154.300950434,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 2}",0,0.03,0.1
5,False,"{'a': 0.1, 'e': 0.8499999999999999}",32,16,-20.7010004211,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1,0.03,0.1
6,False,"{'a': 0.1, 'e': 0.8199999999999998}",32,0,-155.606608915,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 2}",0,0.03,0.1
7,False,"{'a': 0.1, 'e': 0.7899999999999998}",40,0,-171.399040597,"{0: 26, 1: 2, 2: 8, 3: 3, 4: 1}",0,0.03,0.1
8,False,"{'a': 0.1, 'e': 0.7599999999999998}",32,0,-141.691579367,"{0: 22, 1: 2, 2: 5, 3: 1, 4: 2}",0,0.03,0.1
9,False,"{'a': 0.1, 'e': 0.7299999999999998}",48,0,-267.017019528,"{0: 27, 1: 8, 2: 7, 3: 3, 4: 3}",0,0.03,0.1
10,False,"{'a': 0.1, 'e': 0.6999999999999997}",40,0,-162.089680834,"{0: 29, 1: 3, 2: 4, 3: 1, 4: 3}",0,0.03,0.1
11,False,"{'a': 0.1, 'e': 0.6699999999999997}",32,5,-57.1179086587,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 0}",1,0.03,0.1
12,False,"{'a': 0.1, 'e': 0.6399999999999997}",48,0,-78.1860219438,"{0: 36, 1: 3, 2: 8, 3: 1, 4: 0}",0,0.03,0.1
